Tag,Path,Mode,Methods,Description
DB_Design,/DB/DSTL,,"GET, POST, PUT, DELETE","Delete Db Dstl"
DB_Design,/DB/DSTL/{id},,"GET, POST, PUT, DELETE","Delete Db Dstl Key"
DB_Moving Loads,/DB/DYFG,,"GET, POST, PUT, DELETE","Delete Db Dyfg"
DB_Moving Loads,/DB/DYFG/{id},,"GET, POST, PUT, DELETE","Delete Db Dyfg Key"
DB_Moving Loads,/DB/DYLA,,"GET, POST, PUT, DELETE","Delete Db Dyla"
DB_Moving Loads,/DB/DYLA/{id},,"GET, POST, PUT, DELETE","Delete Db Dyla Key"
DB_Moving Loads,/DB/DYNF,,"GET, POST, PUT, DELETE","Delete Db Dynf"
DB_Moving Loads,/DB/DYNF/{id},,"GET, POST, PUT, DELETE","Delete Db Dynf Key"
DB_Boundary,/DB/EARE,,"GET, POST, PUT, DELETE","Delete Db Eare"
DB_Boundary,/DB/EARE/{id},,"GET, POST, PUT, DELETE","Delete Db Eare Key"
DB_Properties,/DB/EDMP,,"GET, POST, PUT, DELETE","Delete Db Edmp"
DB_Properties,/DB/EDMP/{id},,"GET, POST, PUT, DELETE","Delete Db Edmp Key"
DB_Miscellaneous Loads,/DB/EFCT,,"GET, POST, PUT, DELETE","Delete Db Efct"
DB_Miscellaneous Loads,/DB/EFCT/{id},,"GET, POST, PUT, DELETE","Delete Db Efct Key"
DB_Analysis,/DB/EIGV,,"GET, POST, PUT, DELETE","Delete Db Eigv"
DB_Analysis,/DB/EIGV/{id},,"GET, POST, PUT, DELETE","Delete Db Eigv Key"
DB_Node/Element,/DB/ELEM,,"GET, POST, PUT, DELETE","Delete Db Elem"
DB_Node/Element,/DB/ELEM/{id},,"GET, POST, PUT, DELETE","Delete Db Elem Key"
DB_Boundary,/DB/ELNK,,"GET, POST, PUT, DELETE","Delete Db Elnk"
DB_Boundary,/DB/ELNK/{id},,"GET, POST, PUT, DELETE","Delete Db Elnk Key"
DB_Properties,/DB/EPMT,,"GET, POST, PUT, DELETE","Delete Db Epmt"
DB_Properties,/DB/EPMT/{id},,"GET, POST, PUT, DELETE","Delete Db Epmt Key"
DB_Static Loads,/DB/EPSE,,"GET, POST, PUT, DELETE","Delete Db Epse"
DB_Static Loads,/DB/EPSE/{id},,"GET, POST, PUT, DELETE","Delete Db Epse Key"
DB_Static Loads,/DB/EQMF,,"GET, POST, PUT, DELETE","Delete Db Eqmf"
DB_Static Loads,/DB/EQMF/{id},,"GET, POST, PUT, DELETE","Delete Db Eqmf Key"
