Tag,Path,Mode,Methods,Description
DB_Dynamic Loads,/DB/THGA,,"GET, POST, PUT, DELETE",Ground Acceleration
DB_Dynamic Loads,/DB/THGA/{id},,"GET, POST, PUT, DELETE",Ground Acceleration
DB_Dynamic Loads,/DB/THGC,,"GET, POST, PUT, DELETE",Time History Global Control
DB_Dynamic Loads,/DB/THGC/{id},,"GET, POST, PUT, DELETE",Time History Global Control
DB_Properties,/DB/THIK,,"GET, POST, PUT, DELETE",Thickness - Stiffened Value
DB_Properties,/DB/THIK/{id},,"GET, POST, PUT, DELETE",Thickness - Stiffened Value
DB_Dynamic Loads,/DB/THIS,,"GET, POST, PUT, DELETE",Time History Load Cases
DB_Dynamic Loads,/DB/THIS/{id},,"GET, POST, PUT, DELETE",Time History Load Cases
DB_Dynamic Loads,/DB/THMS,,"GET, POST, PUT, DELETE",Multiple Support Excitation
DB_Dynamic Loads,/DB/THMS/{id},,"GET, POST, PUT, DELETE",Multiple Support Excitation
DB_Dynamic Loads,/DB/THNL,,"GET, POST, PUT, DELETE",Dynamic Nodal Loads
DB_Dynamic Loads,/DB/THNL/{id},,"GET, POST, PUT, DELETE",Dynamic Nodal Loads
DB_Time History Analysis Results,/DB/THRE,,"GET, POST, PUT, DELETE",Time History Graph - Element Force Smart Graph
DB_Time History Analysis Results,/DB/THRE/{id},,"GET, POST, PUT, DELETE",Time History Graph - Element Force Smart Graph
DB_Time History Analysis Results,/DB/THRG,,"GET, POST, PUT, DELETE",Time History Graph - General Link Smart Graph
DB_Time History Analysis Results,/DB/THRG/{id},,"GET, POST, PUT, DELETE",Time History Graph - General Link Smart Graph
DB_Time History Analysis Results,/DB/THRI,,"GET, POST, PUT, DELETE",Time History Graph - Inelastic Hinge Smart Graph
DB_Time History Analysis Results,/DB/THRI/{id},,"GET, POST, PUT, DELETE",Time History Graph - Inelastic Hinge Smart Graph
DB_Dynamic Loads,/DB/THSL,,"GET, POST, PUT, DELETE",Time Varying Static Loads
DB_Dynamic Loads,/DB/THSL/{id},,"GET, POST, PUT, DELETE",Time Varying Static Loads
DB_Properties,/DB/TMAT,,"GET, POST, PUT, DELETE",Time Dependent Material Link
DB_Properties,/DB/TMAT/{id},,"GET, POST, PUT, DELETE",Time Dependent Material Link
DB_Construction Stage Loads,/DB/TMLD,,"GET, POST, PUT, DELETE",Time Loads for Construction Stage
DB_Construction Stage Loads,/DB/TMLD/{id},,"GET, POST, PUT, DELETE",Time Loads for Construction Stage
DB_Properties,/DB/TSGR,,"GET, POST, PUT, DELETE",Tapered Group
DB_Properties,/DB/TSGR/{id},,"GET, POST, PUT, DELETE",Tapered Group
DB_View,/DB/UFIG,,GET,Get Db Ufig
DB_View,/DB/UFIG/{id},,GET,Get Db Ufig Key
DB_Misc. Result,/DB/ULFC,,"GET, POST, PUT, DELETE",Cable Control - Unknown Load Factor Constraints
DB_Misc. Result,/DB/ULFC/{id},,"GET, POST, PUT, DELETE",Cable Control - Unknown Load Factor Constraints
DB_Project,/DB/UNIT,,"GET, PUT",Unit System
DB_Project,/DB/UNIT/{id},,"GET, PUT",Unit System
DB_Properties,/DB/VBEM,,"GET, POST, PUT, DELETE",Section Manager - Section for Resultant Forces - Virtual Beam
DB_Properties,/DB/VBEM/{id},,"GET, POST, PUT, DELETE",Section Manager - Section for Resultant Forces - Virtual Beam
DB_Properties,/DB/VSEC,,"GET, POST, PUT, DELETE",Section Manager - Section for Resultant Forces - Virtual Section
DB_Properties,/DB/VSEC/{id},,"GET, POST, PUT, DELETE",Section Manager - Section for Resultant Forces - Virtual Section
DB_Design,/DB/WMAK,,"GET, POST, PUT, DELETE",Modify Wall Mark Design
DB_Design,/DB/WMAK/{id},,"GET, POST, PUT, DELETE",Modify Wall Mark Design
DB_Properties,/DB/WSSF,,"GET, POST, PUT, DELETE",Delete Db Wssf
DB_Properties,/DB/WSSF/{id},,"GET, POST, PUT, DELETE",Delete Db Wssf Key
DB_Miscellaneous Loads,/DB/WVLD,,"GET, POST, PUT, DELETE",Wave Loads
DB_Miscellaneous Loads,/DB/WVLD/{id},,"GET, POST, PUT, DELETE",Wave Loads
DOC,/DOC/ANAL,,POST,Perform Analysis
DOC,/DOC/CLOSE,,POST,Close Project
DOC,/DOC/EXIT,,POST,Post Doc Exit
DOC,/DOC/EXPORT,,POST,Export to Json
DOC,/DOC/EXPORT/{NAME},,POST,Post Doc Export With Param
DOC,/DOC/EXPORTMXT,,POST,Export to mct/mgt
DOC,/DOC/IMPORT,,POST,Import to Json
DOC,/DOC/IMPORTMXT,,POST,Import to mct/mgt
DOC,/DOC/NEW,,POST,New Project
DOC,/DOC/OPEN,,POST,Open Project
DOC,/DOC/SAVE,,POST,Save
DOC,/DOC/SAVEAS,,POST,Save As
DOC,/DOC/STAGAS,,POST,Save Current Stage As
Description,/INFO/DB/ACTL,,GET,Main Control Data
Description,/INFO/DB/ARPR,,GET,Description Arpr
Description,/INFO/DB/BCCT,,GET,Boundary Change Assignment
